12

-0.21786	0	0.97843
0.74353	0	1.85951
1.8509	0	2.5482
3.06627	0	3.02088
4.34797	0	3.26135
5.65203	0	3.26135
6.93373	0	3.02088
8.1491	0	2.5482
9.25647	0	1.85951
10.2179	0	0.97843
0	1.15	0
0.77723	1.15	0.85768
1.69929	1.15	1.55734
2.73455	1.15	2.07497
3.84751	1.15	2.39282
5	1.15	2.5
6.15249	1.15	2.39282
7.26545	1.15	2.07497
8.30071	1.15	1.55734
9.22277	1.15	0.85768
10	1.15	0
-0.21786	2.3	0.97843
0.74353	2.3	1.85951
1.8509	2.3	2.5482
3.06627	2.3	3.02088
4.34797	2.3	3.26135
5.65203	2.3	3.26135
6.93373	2.3	3.02088
8.1491	2.3	2.5482
9.25647	2.3	1.85951
10.2179	2.3	0.97843
0	3.45	0
0.77723	3.45	0.85768
1.69929	3.45	1.55734
2.73455	3.45	2.07497
3.84751	3.45	2.39282
5	3.45	2.5
6.15249	3.45	2.39282
7.26545	3.45	2.07497
8.30071	3.45	1.55734
9.22277	3.45	0.85768
10	3.45	0
-0.21786	4.6	0.97843
0.74353	4.6	1.85951
1.8509	4.6	2.5482
3.06627	4.6	3.02088
4.34797	4.6	3.26135
5.65203	4.6	3.26135
6.93373	4.6	3.02088
8.1491	4.6	2.5482
9.25647	4.6	1.85951
10.2179	4.6	0.97843
