300

-60	-60	0
90	30	220.437
90	0	280.437
30	30	280.437
30	-30	280.437
105.467	-107.946	-118.544
60	-60	0
0	-60	0
-105.467	-107.946	-118.544
-60	0	0
-105.556	103.05	-119.197
-60	60	0
60	60	0
105.556	103.05	-119.197
-90	0	280.437
-30	0	220.437
-30	30	280.437
90	30	280.437
90	-30	280.437
150	0	220.437
-90	30	280.437
-90	-30	280.437
-90	-30	220.437
-150	0	220.437
0	0	0
-30	-30	280.437
0	0	220.437
30	30	220.437
0	30	220.437
90	-30	220.437
30	-30	220.437
-30	30	220.437
-90	30	220.437
-30	-30	220.437
-45	45	110.218
60	0	0
0	60	0
30	0	220.437
45	-45	110.218
45	45	110.218
0	-30	220.437
-45	-45	110.218
0	0	110.218
